"","title","description","contributor","author","publisher"
"1","READY PLAYER TWO","In a sequel to “Ready Player One,” Wade Watts discovers a technological advancement and goes on a new quest.","by Ernest Cline","Ernest Cline","Ballantine"
"2","A TIME FOR MERCY","The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.","by John Grisham","John Grisham","Doubleday"
"3","DEADLY CROSS","The 28th book in the Alex Cross series. An investigation of a double homicide sends Alex Cross to Alabama.","by James Patterson","James Patterson","Little, Brown"
"4","THE RETURN","A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.","by Nicholas Sparks","Nicholas Sparks","Grand Central"
"5","THE VANISHING HALF","The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.","by Brit Bennett","Brit Bennett","Riverhead"
"6","DAYLIGHT","The F.B.I. agent Atlee Pine’s search for her twin sister overlaps with a military investigator’s hunt for someone involved in a global conspiracy.","by David Baldacci","David Baldacci","Grand Central"
"7","WHERE THE CRAWDADS SING","In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.","by Delia Owens","Delia Owens","Putnam"
"8","THE LAW OF INNOCENCE","The sixth book in the Mickey Haller series. Haller defends himself when police find the body of a former client in his car’s trunk.","by Michael Connelly","Michael Connelly","Little, Brown"
"9","THE AWAKENING","The first book in the Dragon Heart Legacy series. Breen Kelly travels through a portal in Ireland to a land of faeries and mermaids.","by Nora Roberts","Nora Roberts","St. Martin's"
"10","THE SENTINEL","Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.","by Lee Child and Andrew Child","Lee Child and Andrew Child","Delacorte"
"11","FORTUNE AND GLORY","The 27th book in the Stephanie Plum series. Stephanie deals with a soldier of fortune from Little Havana.","by Janet Evanovich","Janet Evanovich","Atria"
"12","ANXIOUS PEOPLE","A failed bank robber holds a group of strangers hostage at an apartment open house.","by Fredrik Backman","Fredrik Backman","Atria"
"13","THE MIDNIGHT LIBRARY","Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.","by Matt Haig","Matt Haig","Viking"
"14","HAMNET","An imagined exploration of how the death of an 11-year-old boy to the Black Plague in 1596 might have affected a famous playwright and his wife.","by Maggie O'Farrell","Maggie O'Farrell","Knopf"
"15","THE EVENING AND THE MORNING","In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings.","by Ken Follett","Ken Follett","Viking"
"16","RHYTHM OF WAR","The fourth book in the Stormlight Archive series. Technological discoveries and an ensuing arms race change how a war is fought.","by Brandon Sanderson","Brandon Sanderson","Tor"
"17","THE INVISIBLE LIFE OF ADDIE LARUE","A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.","by V.E. Schwab","V E Schwab","Tor/Forge"
"18","THE SEARCHER","After a divorce, a former Chicago police officer resettles in an Irish village where a boy goes missing.","by Tana French","Tana French","Viking"
"19","ALL THAT GLITTERS","Just as Coco is about to graduate from Columbia, tragic events in her family send her on a journey of self-discovery.","by Danielle Steel","Danielle Steel","Delacorte"
"20","TOM CLANCY: SHADOW OF THE DRAGON","A missing scientist, strange noises under the Arctic ice and a mole who infiltrated American intelligence bedevil President Jack Ryan.","by Marc Cameron","Marc Cameron","Putnam"
"21","PIECE OF MY HEART","As their wedding approaches, a television producer and her fiancée must search for his missing 7-year-old nephew.","by Mary Higgins Clark and Alafair Burke","Mary Higgins Clark and Alafair Burke","Simon & Schuster"
"22","I WOULD LEAVE ME IF I COULD","A debut collection of poems by the Grammy Award-nominated musician.","by Halsey","Halsey","Simon & Schuster"
"23","MARAUDER","The 15th book in the Oregon Files series. A billionaire's dying wish bestows a paralyzing chemical to a terrorist group.","by Clive Cussler and Boyd Morrison","Clive Cussler and Boyd Morrison","Putnam"
"24","MOONFLOWER MURDERS","Cecily Trehearne goes missing from a Greek island hotel that is run by a former publisher after reading the mystery “Atticus Pünd Takes the Case.”","by Anthony Horowitz","Anthony Horowitz","Harper"
"25","THE BOOK OF TWO WAYS","After surviving a plane crash, a death doula travels to Egypt to reconnect with an old flame who is an archaeologist.","by Jodi Picoult","Jodi Picoult","Ballantine"
"26","THREE WOMEN DISAPPEAR","Detective Sean Walsh must solve a case involving three missing women who had access to a home where a man was murdered.","by James Patterson and Shan Serafin","James Patterson and Shan Serafin","Little, Brown"
"27","THE WONDER BOY OF WHISTLE STOP","Bud Threadgoode returns to his hometown and sets off some life-changing events.","by Fannie Flagg","Fannie Flagg","Random House"
"28","WHITE IVY","Years after being sent to China as a punishment by her mother, Ivy Lin reconnects with her teenage crush but her past threatens to catch up to her.","by Susie Yang","Susie Yang","Simon & Schuster"
"29","LEAVE THE WORLD BEHIND","A family vacation in an isolated part of Long Island is thrown into confusion when the home’s owners return claiming New York City is having a blackout.","by Rumaan Alam","Rumaan Alam","Ecco"
"30","THE NOEL LETTERS","An editor of a publishing house inherits her father’s bookstore and receives letters from an anonymous source.","by Richard Paul Evans","Richard Paul Evans","Gallery"
"31","TRULY, MADLY, DEEPLY","An 18-year-old who wants to become a police officer falls in love with a young woman who has an aggressive form of cancer.","by Karen Kingsbury","Karen Kingsbury","Atria"
"32","TROUBLES IN PARADISE","The final installment of the trilogy that includes “Winter in Paradise” and “What Happens in Paradise.”","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"33","THE GUEST LIST","A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.","by Lucy Foley","Lucy Foley","Morrow"
"34","THE SILENCE","The severing of digital connections transforms a dinner gathering in Manhattan on Super Bowl Sunday in 2022.","by Don DeLillo","Don DeLillo","Scribner"
"35","THE LAST DRUID","The fourth book in the Fall of Shannara series.","by Terry Brooks","Terry Brooks","Del Rey"
"36","JINGLE ALL THE WAY","A December cruise in the Amazon fosters a potential change in priorities for a career-focused real-estate executive.","by Debbie Macomber","Debbie Macomber","Ballantine"
"37","INVISIBLE GIRL","An ex-schoolteacher accused of sexual misconduct lives near a family led by a child psychologist whose former patient goes missing.","by Lisa Jewell","Lisa Jewell","Atria"
"38","THE COAST-TO-COAST MURDERS","A detective and an F.B.I. agent are baffled by a cross-country killing spree.","by James Patterson and J.D. Barker","James Patterson and JD Barker","Little, Brown"
"39","MAGIC LESSONS","In a prequel to “Practical Magic,” Maria Owens invokes a curse that will haunt her family in Salem, Mass.","by Alice Hoffman","Alice Hoffman","Simon & Schuster"
"40","ONE BY ONE","An avalanche tests the bonds of coworkers from a London-based tech startup on a corporate retreat in the French Alps.","by Ruth Ware","Ruth Ware","Gallery/Scout"
"41","VINCE FLYNN: TOTAL POWER","When America’s power grid is shut down, Mitch Rapp goes after a cyber terrorist.","by Kyle Mills","Kyle Mills","Emily Bestler/Atria"
"42","BATTLE GROUND","The 17th book in the Dresden Files series. Harry must save Chicago from destruction by the Last Titan.","by Jim Butcher","Jim Butcher","Ace"
"43","VIOLET BENT BACKWARDS OVER THE GRASS","A collection of poems by the singer and songwriter.","by Lana Del Rey","Lana Del Rey","Simon & Schuster"
"44","JACK","An interracial romance develops between a preacher’s daughter and a Presbyterian minister’s son.","by Marilynne Robinson","Marilynne Robinson","Farrar, Straus & Giroux"
"45","A DEADLY EDUCATION","While others expect a dark sorceress to cause damage, she has other plans.","by Naomi Novik","Naomi Novik","Del Rey"
"46","THE HARBINGER II","Nouriel, Ana Goren and a figure known as ""the prophet"" return as revelations are unlocked.","by Jonathan Cahn","Jonathan Cahn","FrontLine"
"47","NEXT TO LAST STAND","The 16th book in the Longmire series. A million dollars in a shoebox and a piece of a painting might be clues to an art heist.","by Craig Johnson","Craig Johnson","Viking"
"48","TROUBLED BLOOD","The fifth book in the Cormoran Strike series. A decades-old cold case might be connected to a serial killer; by J.K. Rowling, writing pseudonymously.","by Robert Galbraith","Robert Galbraith","Mulholland"
"49","ALL THE DEVILS ARE HERE","The 16th book in the Chief Inspector Gamache series. When his billionaire godfather is attacked, Gamache uncovers secrets hidden throughout Paris.","by Louise Penny","Louise Penny","Minotaur"
"50","TO SLEEP IN A SEA OF STARS","Kira Navárez might be the only one who can save the Earth and its colonies from being destroyed.","by Christopher Paolini","Christopher Paolini","Tor"
"51","SHADOWS IN DEATH","The 51st book of the In Death series. A hitman with possible connections to Eve Dallas’s husband is seen near the scene of a crime.","by J.D. Robb","JD Robb","St. Martin's"
"52","PIRANESI","Another world is revealed as a man called the Other asks Piranesi for help with research into a Great and Secret Knowledge.","by Susanna Clarke","Susanna Clarke","Bloomsbury"
"53","TRANSCENDENT KINGDOM","A Ph.D. candidate in neuroscience looks to the hard sciences and her childhood faith to potentially help her grieving Ghanaian immigrant family.","by Yaa Gyasi","Yaa Gyasi","Knopf"
"54","FIFTY WORDS FOR RAIN","In 1940s Japan, an 8-year-old child of a married Japanese aristocrat and her African-American lover searches for her place in the world.","by Asha Lemmie","Asha Lemmie","Dutton"
"55","THE LYING LIFE OF ADULTS","In this coming-of-age story, Giovanna seeks her true reflection in two kindred cities.","by Elena Ferrante","Elena Ferrante","Europa Editions"
"56","SQUEEZE ME","A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season.","by Carl Hiaasen","Carl Hiaasen","Knopf"
"57","THICK AS THIEVES","Arden Maxwell returns home to uncover the truth about her father’s involvement in a heist that went wrong 20 years ago.","by Sandra Brown","Sandra Brown","Grand Central"
"58","AMERICAN DIRT","A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.","by Jeanine Cummins","Jeanine Cummins","Flatiron"
